temp-h-3,temp-h-6,temp-h-12,temp-h-24,hum-h-3,hum-h-6,hum-h-12,hum-h-24,temp-d-minus-2,temp-d-minus-3,temp-d-minus-4,temp-d-minus-5,temp-d-minus-6,temp-d-minus-7,temp-d-minus-8,hum-d-minus-2,hum-d-minus-3,hum-d-minus-4,hum-d-minus-5,hum-d-minus-6,hum-d-minus-7,hum-d-minus-8,avg_temp-w1,avg_temp-w2,avg_temp-w3,avg_temp-w4,avg_hum-w1,avg_hum-w2,avg_hum-w3,avg_hum-w4
8.133333333333333,9.933333333333332,11.491666666666667,10.066666666666668,72.66666666666667,64.83333333333333,58.0,63.0,9.0,7.8,6.5,8.8,9.9,11.0,9.1,80.0,68.0,77.0,72.0,87.0,77.0,69.0,8.871428571428572,9.328571428571427,9.957142857142856,10.3,75.71428571428571,72.57142857142857,70.85714285714286,67.14285714285714
11.466666666666669,12.266666666666666,13.5,10.9875,56.66666666666666,55.333333333333336,54.5,64.0,9.0,9.0,7.8,6.5,8.8,9.9,11.0,62.0,80.0,68.0,77.0,72.0,87.0,77.0,8.857142857142856,9.328571428571427,9.928571428571429,10.342857142857143,74.71428571428571,72.14285714285714,69.42857142857143,67.28571428571429
13.766666666666666,14.483333333333334,15.391666666666666,13.020833333333334,54.0,52.833333333333336,55.91666666666666,63.0,7.3,9.0,9.0,7.8,6.5,8.8,9.9,78.0,62.0,80.0,68.0,77.0,72.0,87.0,8.32857142857143,8.957142857142857,9.5,10.185714285714283,74.85714285714286,71.71428571428571,69.0,66.14285714285714
11.933333333333332,12.75,15.116666666666667,13.808333333333332,52.0,60.16666666666666,56.16666666666666,61.41666666666666,9.8,7.3,9.0,9.0,7.8,6.5,8.8,70.0,78.0,62.0,80.0,68.0,77.0,72.0,8.314285714285715,9.071428571428571,9.57142857142857,10.228571428571428,72.42857142857143,67.85714285714286,63.85714285714285,63.142857142857146
9.233333333333334,9.716666666666669,10.758333333333336,10.229166666666666,56.333333333333336,54.333333333333336,50.16666666666666,53.75,11.0,9.8,7.3,9.0,9.0,7.8,6.5,65.0,70.0,78.0,62.0,80.0,68.0,77.0,8.628571428571428,9.6,10.2,10.785714285714286,71.42857142857143,66.28571428571429,61.85714285714285,61.42857142857143
9.1,10.216666666666669,11.1,9.983333333333333,56.333333333333336,49.333333333333336,47.583333333333336,53.458333333333336,10.9,11.0,9.8,7.3,9.0,9.0,7.8,59.0,65.0,70.0,78.0,62.0,80.0,68.0,9.257142857142856,10.214285714285714,10.685714285714283,11.2,68.85714285714286,63.0,60.0,61.285714285714285
10.066666666666665,11.183333333333332,12.266666666666666,10.1875,67.33333333333333,62.66666666666666,57.75,58.16666666666666,8.4,10.9,11.0,9.8,7.3,9.0,9.0,61.0,59.0,65.0,70.0,78.0,62.0,80.0,9.342857142857143,10.342857142857142,10.7,11.414285714285713,67.85714285714286,61.57142857142857,58.142857142857146,59.285714285714285
13.233333333333334,14.433333333333335,15.725,13.025,72.33333333333333,67.16666666666667,58.75,58.54166666666666,7.5,8.4,10.9,11.0,9.8,7.3,9.0,56.0,61.0,59.0,65.0,70.0,78.0,62.0,9.128571428571428,10.514285714285714,10.857142857142858,11.642857142857142,64.42857142857143,58.71428571428572,55.57142857142857,55.71428571428572
14.766666666666666,15.583333333333334,16.53333333333333,14.4125,65.0,63.0,61.083333333333336,62.458333333333336,8.9,7.5,8.4,10.9,11.0,9.8,7.3,63.0,56.0,61.0,59.0,65.0,70.0,78.0,9.114285714285714,10.528571428571428,11.028571428571428,11.671428571428573,64.57142857142857,59.285714285714285,57.142857142857146,56.57142857142857
13.933333333333332,14.9,16.474999999999998,14.895833333333334,72.0,69.0,64.33333333333333,65.66666666666667,13.5,8.9,7.5,8.4,10.9,11.0,9.8,52.0,63.0,56.0,61.0,59.0,65.0,70.0,10.0,11.328571428571427,11.842857142857143,12.22857142857143,60.85714285714285,58.0,57.42857142857143,57.71428571428572
